english,tag
Allah,noun
Alsatian,noun
Anglo-Saxon,adjective
Anglo-Saxon,noun
BCE,abbreviation
BMX,noun
Bengali,noun
BlackBerry™,noun
Blu-ray,noun
Bluetooth™,noun
Bollywood,noun
Broadway,noun
Buddha,noun
Buddhism,noun
Buddhist,noun
Buddhist,adjective
C-19,noun
CCTV,abbreviation
CFO,noun
CTO,noun
Catholic,noun
Catholicism,noun
Christ,noun
FBI,abbreviation
Fahrenheit,noun
GCSE,noun
HIV,noun
HTML,abbreviation
Hoover™,noun
IGCSE,noun
Impressionism,noun
Impressionist,adjective
Islamic,adjective
Jeep™,noun
Jesus,noun
Kiswahili,noun
Koran,noun
LGBT,abbreviation
LGBTQ,abbreviation
LOL,exclamation
Labrador,noun
Lego™,noun
Ltd,abbreviation
MBA,noun
Maori,noun
Mercury,noun
Mohammed,noun
Muhammad,noun
NASA,abbreviation
NATO,abbreviation
NGO,noun
Neptune,noun
Pluto,noun
Protestant,adjective
Protestant,noun
Protestantism,noun
Qur’an,noun
RAM,noun
STEM,abbreviation
Saturn,noun
Swahili,noun
Tamil,noun
TikTok™,noun
UFO,noun
USB,abbreviation
Uranus,noun
Urdu,noun
VAR,noun
VIP,noun
Victorian,adjective
Victorian,noun
XXL,abbreviation
able,adjective
aboard,adverb
abolition,noun
abortion,noun
absorbed,adjective
abuse,verb
abuse,noun
academy,noun
accelerate,verb
acceleration,noun
accelerator,noun
acceptance,noun
accessibility,noun
accessory,noun
accommodate,verb
accomplice,noun
accomplished,adjective
accomplishment,noun
accountability,noun
accountable,adjective
accountancy,noun
accumulate,verb
accumulation,noun
achiever,noun
acid,adjective
acidity,noun
acoustic,adjective
acquisition,noun
acquit,verb
acre,noun
act,noun
activation,noun
active,adjective
activism,noun
activist,noun
actor-manager,noun
acute,adjective
acutely,adverb
adaptable,adjective
adaptation,noun
adapter,noun
addict,noun
addictive,adjective
adjacent,adjective
administer,verb
administrative,adjective
administrator,noun
admiral,noun
admiration,noun
admission,noun
admit,verb
adolescence,noun
adolescent,noun
adoption,noun
adoptive,adjective
adrenaline,noun
advance,verb
advancement,noun
advantage,verb
advantaged,adjective
advocate,verb
aerial,adjective
aerial,noun
aerobic,adjective
aerospace,noun
affection,noun
affectionate,adjective
affirmative,noun
affirmative,adjective
affirmatively,adverb
affix,noun
aftermath,noun
again,adverb
aged,adjective
aggression,noun
agitate,verb
agitated,adjective
agonizing,adjective
agony,noun
agricultural,adjective
aide,noun
ailment,noun
air,verb
airfield,noun
airspace,noun
alcoholic,noun
alert,noun
alert,verb
alert,adjective
algae,noun
algebra,noun
alibi,noun
alien,adjective
alike,adjective
all-day,adjective
all-inclusive,adjective
all-you-can-eat,adjective
alliance,noun
allied,adjective
alligator,noun
allowance,noun
ally,noun
almond,noun
alternate,adjective
altitude,noun
aluminium,noun
always,adverb
ambassador,noun
amphibian,noun
amplifier,noun
amplify,verb
anaesthetic,noun
anaesthetic,adjective
analogue,adjective
analogy,noun
ancestry,noun
anchor,noun
anchor,verb
angel,noun
animate,verb
annoyance,noun
antelope,noun
antenna,noun
anthem,noun
anthropological,adjective
anthropologist,noun
anthropology,noun
anti,preposition
anti-vaccine,adjective
antiseptic,noun
antiseptic,adjective
antivirus,adjective
antler,noun
appalled,adjective
apparatus,noun
appeal,noun
appeal,verb
appendix,noun
appetite,noun
appetizer,noun
appetizing,adjective
application,noun
appoint,verb
appraise,verb
appreciate,verb
appreciation,noun
apprehensive,adjective
apprenticeship,noun
approach,noun
apricot,noun
aquarium,noun
arcade,noun
arch,noun
arched,adjective
architectural,adjective
architecture,noun
archive,noun
area,noun
arena,noun
arguable,adjective
arguably,adverb
argumentative,adjective
arid,adjective
aristocracy,noun
aristocrat,noun
arithmetic,noun
arm,verb
arm,noun
armour,noun
arson,noun
arsonist,noun
artery,noun
articulate,adjective
articulate,verb
asparagus,noun
aspiration,noun
aspire,verb
aspiring,adjective
assassin,noun
assassinate,verb
assault,noun
assault,verb
assemble,verb
assembly,noun
assert,verb
assertion,noun
assertive,adjective
assertively,adverb
assessor,noun
associate,noun
assure,verb
assured,adjective
asthma,noun
astonishment,noun
astound,verb
astounded,adjective
astrobiologist,noun
astrobiology,noun
asylum,noun
atmospheric,adjective
atomic,adjective
atrocity,noun
attain,verb
attainment,noun
attendance,noun
attentive,adjective
attitude,noun
attorney,noun
attractiveness,noun
aubergine,noun
audit,verb
audit,noun
authenticity,noun
autism,noun
autistic,adjective
autobiographical,adjective
automatic,noun
autonomy,noun
autopilot,noun
autoplay,noun
avenue,noun
avert,verb
aviation,noun
avocado,noun
award,noun
awkward,adjective
axe,noun
axis,noun
axle,noun
baby-faced,adjective
babyhood,noun
back,verb
backcloth,noun
backdrop,noun
backer,noun
backing,noun
backstory,noun
backup,noun
bad-tempered,adjective
badminton,noun
bagpipes,noun
bail,noun
bail,verb
baking,noun
baking,adjective
ballad,noun
ballot,noun
ballroom,noun
bamboo,noun
bandit,noun
bank,noun
bankrupt,adjective
bankruptcy,noun
banquet,noun
bar,noun
barber,noun
barcode,noun
bargain,verb
bargaining,noun
bark,noun
bark,verb
barley,noun
barn,noun
baron,noun
barren,adjective
barter,verb
barter,noun
base,noun
basil,noun
bass,noun
bat,noun
bath,noun
bathe,verb
batter,noun
battlefield,noun
bay,noun
bead,noun
beam,noun
beast,noun
beautician,noun
beep,noun
beep,verb
beetle,noun
beforehand,adverb
beige,adjective
belly,noun
belonging,noun
belt,noun
bench,noun
berry,noun
beverage,noun
beware,verb
bias,noun
bias,verb
bib,noun
bible,noun
bibliography,noun
bid,verb
bid,noun
big,adjective
big-hearted,adjective
biker,noun
bingo,noun
biodegradable,adjective
biodiversity,noun
biographer,noun
biography,noun
biracial,adjective
birdwatcher,noun
birdwatching,noun
birthplace,noun
bisexual,adjective
bisexual,noun
bishop,noun
bistro,noun
blackberry,noun
blackcurrant,noun
blackmail,noun
blackmail,verb
blackmailer,noun
blade,noun
bland,adjective
blanket,noun
blast,verb
blast,noun
bleed,verb
blend,verb
blender,noun
bless,verb
blessing,noun
blind,noun
blister,noun
blockbuster,noun
blossom,noun
blossom,verb
bluebird,noun
bluish,adjective
blush,noun
blush,verb
boardroom,noun
boast,verb
boathouse,noun
bodybuilder,noun
bodybuilding,noun
bodyguard,noun
boiler,noun
boiling,adjective
bombard,verb
bond,noun
bond,verb
bonus,noun
book,noun
book,verb
booking,noun
bookmark,verb
bookmark,noun
bookstall,noun
boom,verb
boom,noun
border,noun
bore,noun
bore,verb
boss,verb
bot,noun
bottle-feed,verb
boulevard,noun
bouncer,noun
boundary,noun
bouquet,noun
boutique,noun
bow,noun
bowler,noun
bowling,noun
boyhood,noun
brace,noun
bracelet,noun
bracket,noun
brag,verb
brainy,adjective
branch,verb
branch,noun
brandy,noun
brass,noun
breach,verb
breach,noun
breadcrumbs,noun
breadstick,noun
breadwinner,noun
break,verb
break-in,noun
break-up,noun
breakdown,noun
breakthrough,noun
breastfeed,verb
breathless,adjective
breathlessness,noun
breed,verb
breed,noun
breezy,adjective
brew,verb
brewery,noun
bribe,verb
bribe,noun
bribery,noun
brief,adjective
briefs,noun
brighten,verb
broad-minded,adjective
broadband,noun
broke,adjective
broken,adjective
broken-hearted,adjective
bronze,noun
bronze,adjective
broom,noun
brother,noun
brotherhood,noun
brotherly,adjective
brownish,adjective
browse,verb
browser,noun
brunch,noun
buck,noun
bucket,noun
buckle,noun
bud,noun
buddy,noun
budgerigar,noun
budgie,noun
buffet,noun
bug,verb
bug,noun
buggy,noun
built-in,adjective
bulb,noun
bulletin,noun
bullfight,noun
bum,noun
bump,noun
bun,noun
bungalow,noun
bunk,noun
burden,noun
burden,verb
bureau,noun
bureaucracy,noun
burial,noun
business,noun
but,noun
butler,noun
buzz,verb
buzz,noun
bypass,noun
bypass,verb
byte,noun
cab,noun
cabinet,noun
cable,noun
cactus,noun
calculate,verb
calculation,noun
calf,noun
call-in,noun
camerawork,noun
camouflage,noun
camper,noun
canary,noun
cancellation,noun
cane,noun
cannabis,noun
cannon,noun
canoeist,noun
canopy,noun
canvas,noun
capacity,noun
cape,noun
capital,adjective
capitalism,noun
capsule,noun
car,noun
carbon-neutral,adjective
caregiver,noun
caretaker,noun
cargo,noun
carol,noun
carriage,noun
carrier,noun
cart,noun
carve,verb
carving,noun
cash,verb
cashback,noun
casino,noun
casserole,noun
cast,verb
casting,noun
casual,adjective
casualty,noun
catbird,noun
catching,adjective
caterer,noun
caterpillar,noun
catfish,noun
catholic,adjective
cattle,noun
catwalk,noun
cauliflower,noun
causal,adjective
causative,adjective
caution,verb
caution,noun
cautious,adjective
celery,noun
cello,noun
cellular,adjective
cement,noun
cemetery,noun
censor,noun
censorship,noun
centigrade,adjective
centigrade,noun
ceramic,noun
chair,noun
chairlift,noun
chalet,noun
chalk,noun
chalkboard,noun
challenger,noun
challenging,adjective
chamber,noun
changeable,adjective
channel,noun
chaos,noun
chapter,noun
character,noun
characterization,noun
charge,verb
charge,noun
charged,adjective
chariot,noun
charitable,adjective
chatty,adjective
chauffeur,noun
cheat,verb
check,noun
checked,adjective
cheek,noun
cheekbone,noun
cheeky,adjective
cheesecake,noun
chemistry,noun
chest,noun
chestnut,adjective
chewy,adjective
chick,noun
childminder,noun
chilly,adjective
chimney,noun
chimpanzee,noun
cholesterol,noun
christening,noun
chronic,adjective
chronological,adjective
chronology,noun
chunky,adjective
cinemagoer,noun
circular,adjective
circulate,verb
circulation,noun
citizenship,noun
citrus,noun
civic,adjective
civilian,noun
civilian,adjective
claim,verb
clan,noun
clarinet,noun
clarinettist,noun
clash,noun
class,noun
classic,noun
classical,adjective
claw,noun
cleanse,verb
clearing,noun
climax,noun
climb,noun
cloak,noun
clone,noun
clone,verb
close,verb
close-knit,adjective
close-up,noun
closure,noun
clumsy,adjective
cluster,noun
clutter,noun
co-author,noun
co-author,verb
co-parent,verb
co-parent,noun
co-parenting,noun
co-pilot,noun
co-star,noun
coalition,noun
coastal,adjective
cocaine,noun
cockpit,noun
cockroach,noun
cocktail,noun
coconut,noun
cod,noun
codfish,noun
coffin,noun
coherent,adjective
cold-blooded,adjective
cold-hearted,adjective
collaborate,verb
collaboration,noun
collaborative,adjective
collapse,noun
collarbone,noun
collective,adjective
collide,verb
collision,noun
colon,noun
colonel,noun
colony,noun
coloring,noun
colouring,noun
column,noun
columnist,noun
combat,noun
comeback,noun
comet,noun
commanding,adjective
commemorate,verb
commemoration,noun
commence,verb
commentary,noun
commentator,noun
commerce,noun
commit,verb
committed,adjective
commodity,noun
communism,noun
communist,noun
companion,noun
companionship,noun
comparison-shop,verb
compartment,noun
compassionate,adjective
compatible,adjective
compelling,adjective
competent,adjective
compliance,noun
complication,noun
comply,verb
compose,verb
composition,noun
compost,noun
compress,verb
compromise,noun
compromise,verb
computer-aided,adjective
computer-generated,adjective
computer-literate,adjective
computerize,verb
concede,verb
conceited,adjective
conceive,verb
conception,noun
concerto,noun
concession,noun
concise,adjective
concrete,adjective
concrete,verb
concretely,adverb
condemn,verb
conduct,verb
conductor,noun
cone,noun
confer,verb
confession,noun
conform,verb
conformity,noun
confrontation,noun
congratulate,verb
congregation,noun
congressional,adjective
connotation,noun
conquer,verb
conqueror,noun
conscience,noun
conscientious,adjective
consciousness,noun
consensus,noun
consent,verb
consent,noun
consequent,adjective
conservation,noun
conservationist,noun
conserve,verb
considerate,adjective
consistency,noun
consolidate,verb
consolidation,noun
conspirator,noun
constellation,noun
constituency,noun
constitution,noun
constitutional,adjective
constitutionally,adverb
constructor,noun
consultancy,noun
consultation,noun
consumerism,noun
consumerist,adjective
contactless,adjective
contagious,adjective
container,noun
contaminate,verb
contamination,noun
contempt,noun
contemptuous,adjective
contend,verb
content,adjective
contention,noun
contentious,adjective
continental,adjective
continual,adjective
continually,adverb
contradict,verb
contradiction,noun
contradictory,adjective
contrast,noun
contributor,noun
control,noun
convention,noun
conversion,noun
convert,verb
convert,noun
convict,noun
convict,verb
conviction,noun
cookie,noun
cool,adjective
cooperate,verb
cooperation,noun
cooperative,adjective
cooperative,noun
coordinate,verb
coordination,noun
cop,noun
copper,noun
copyright,verb
copyright,noun
copyright,adjective
corkscrew,noun
cornflakes,noun
cornflour,noun
corps,noun
correlate,verb
correlation,noun
correspondent,noun
corridor,noun
corrupt,verb
corrupt,adjective
corruption,noun
cosmic,adjective
cosmonaut,noun
cosmos,noun
cost-cutting,noun
costly,adjective
cosy,adjective
cot,noun
councillor,noun
counselling,noun
counsellor,noun
count,noun
countess,noun
coup,noun
courageous,adjective
courier,noun
coursebook,noun
courtside,adjective
courtside,noun
courtyard,noun
cove,noun
cover,noun
coward,noun
cowardly,adjective
cowshed,noun
crackdown,noun
cradle,noun
craft,verb
craftsman,noun
crane,noun
crash-land,verb
crash-test,verb
crater,noun
crawl,verb
creamy,adjective
creation,noun
credible,adjective
crew,noun
crew,verb
crib,noun
crisp,adjective
crispy,adjective
critique,verb
critique,noun
croc,noun
croissant,noun
cross,noun
cross-country,noun
crow,noun
crown,noun
crown,verb
crude,adjective
cruise,verb
crumb,noun
crumble,noun
crunchy,adjective
crutch,noun
crystal,noun
cub,noun
cube,noun
cuff,noun
cult,noun
cultivate,verb
cultivation,noun
curator,noun
curfew,noun
curl,verb
curl,noun
cursor,noun
cushion,noun
custard,noun
custody,noun
cut,verb
cut,noun
cutback,noun
cutlery,noun
cutting,noun
cybercrime,noun
cyberspace,noun
cyclone,noun
cylinder,noun
daffodil,noun
daily,noun
dairy,noun
dam,noun
damage,noun
damp,adjective
damp,noun
dare,noun
dare,verb
daring,noun
darling,noun
dart,noun
databank,noun
datable,adjective
dawn,noun
daypack,noun
dealer,noun
dealing,noun
dealmaker,noun
dear,noun
debatable,adjective
debit,noun
decaffeinated,adjective
decay,verb
deception,noun
decimal,noun
deck,noun
declaration,noun
declare,verb
decor,noun
decorative,adjective
decorator,noun
deduce,verb
deem,verb
deep-fry,verb
default,noun
defence,noun
defend,verb
defendant,noun
defense,noun
deficiency,noun
deficit,noun
defrost,verb
defy,verb
delegate,noun
deletion,noun
deli,noun
delicate,adjective
delicatessen,noun
demographic,noun
demographic,adjective
demolish,verb
demonstrator,noun
den,noun
density,noun
dentistry,noun
dependable,adjective
dependence,noun
depict,verb
deploy,verb
deposit,noun
deposit,verb
depressed,adjective
depression,noun
depth,noun
deputy,noun
descendant,noun
descent,noun
desktop,noun
desolate,adjective
despair,noun
despair,verb
despise,verb
detain,verb
detectable,adjective
detention,noun
deteriorate,verb
deterioration,noun
detest,verb
devastate,verb
devoted,adjective
devotion,noun
devour,verb
diagnose,verb
diagnosis,noun
dial,noun
dial,verb
dialect,noun
diameter,noun
diaper,noun
diarrhoea,noun
dice,noun
dictate,verb
dictator,noun
dictatorship,noun
diesel,noun
digest,verb
digestion,noun
digestive,adjective
dignified,adjective
dilemma,noun
dime,noun
dimension,noun
diner,noun
dip,noun
dip,verb
diphthong,noun
diplomacy,noun
diplomat,noun
diplomatic,adjective
diplomatically,adverb
direction,noun
directory,noun
disadvantage,verb
disadvantaged,adjective
disagreeable,adjective
disapproval,noun
disastrous,adjective
disastrously,adverb
discharge,verb
discomfort,noun
discomfort,verb
disconnect,verb
discontent,noun
discontented,adjective
discretion,noun
discriminate,verb
discrimination,noun
disgust,noun
disgusted,adjective
disillusioned,adjective
displace,verb
display,noun
disposal,noun
disprove,verb
dispute,verb
dispute,noun
dissertation,noun
dissolve,verb
distant,adjective
distinguish,verb
distinguished,adjective
distress,noun
distress,verb
distressed,adjective
distressing,adjective
disturbed,adjective
ditch,noun
dive,verb
diversify,verb
diversion,noun
divided,adjective
divine,adjective
dizzy,adjective
dock,verb
dock,noun
doctorate,noun
dogfish,noun
domain,noun
dome,noun
domesticate,verb
domesticated,adjective
donor,noun
donut,noun
don’t-know,noun
doom,verb
doorman,noun
doorwoman,noun
dope,noun
dope,verb
doping,noun
dormitory,noun
dose,noun
double,noun
double-decker,noun
doubtful,adjective
dough,noun
doughnut,noun
dove,noun
down,adjective
downpour,noun
downriver,adverb
downstate,adverb
downstate,adjective
downstream,adjective
downstream,adverb
downturn,noun
downward,adjective
drain,noun
dramatist,noun
dramatize,verb
draw,verb
draw,noun
dre,adverb
dread,noun
dress,verb
dresser,noun
dressing,noun
drift,noun
drift,verb
drill,verb
drink-driver,noun
drive,noun
drive-through,noun
driven,adjective
dropout,noun
dub,verb
dubious,adjective
duchess,noun
duckling,noun
dull,adjective
dump,verb
dumper,noun
dumping,noun
dungeon,noun
duo,noun
dusk,noun
dust,verb
dustman,noun
duty,noun
duty-free,noun
duty-free,adverb
duty-free,adjective
dynamite,noun
dynasty,noun
e-payment,noun
e-wallet,noun
eager,adjective
eagerness,noun
earl,noun
earnings,noun
earthworm,noun
easily,adverb
easy,adjective
echo,verb
eclipse,noun
eco-anxiety,noun
ecological,adjective
ecologist,noun
ecstatic,adjective
educator,noun
eel,noun
effectiveness,noun
eggplant,noun
elder,noun
elder,adjective
electable,adjective
electoral,adjective
electorate,noun
electric,noun
electrode,noun
electron,noun
elite,noun
elite,adjective
ellipsis,noun
elusive,adjective
elusively,adverb
embark,verb
embarrassment,noun
embassy,noun
embryo,noun
emigration,noun
emit,verb
emoji,noun
emoticon,noun
empathy,noun
empire,noun
empirical,adjective
empirically,adverb
en-suite,noun
encode,verb
endorse,verb
endorsement,noun
energize,verb
energy,noun
enforce,verb
enforcement,noun
engagement,noun
engineer,verb
enlightenment,noun
enrol,verb
enrolment,noun
ensue,verb
enterprise,noun
enthusiast,noun
environmentalism,noun
envy,verb
envy,noun
epic,noun
epidemic,noun
equality,noun
equation,noun
equilibrium,noun
erect,verb
erode,verb
escalator,noun
estuary,noun
eternity,noun
ethnicity,noun
ethos,noun
euphemism,noun
evacuate,verb
evacuation,noun
evaluative,adjective
evaporate,verb
evaporation,noun
eventful,adjective
eventual,adjective
evict,verb
evolutionary,adjective
excite,verb
exclusion,noun
exclusive,adjective
execute,verb
execution,noun
executive,noun
exhaust,noun
exhaustion,noun
exile,noun
exile,verb
exit,noun
exit,verb
exoplanet,noun
expel,verb
expenditure,noun
experimental,adjective
experimentation,noun
expire,verb
explosive,adjective
explosive,noun
exposure,noun
express,verb
extension,noun
exterior,noun
exterior,adjective
extra,noun
extracurricular,adjective
extravagant,adjective
extremism,noun
extremist,noun
extremist,adjective
eyeball,noun
eyelash,noun
eyelid,noun
fable,noun
faction,noun
factor,noun
faculty,noun
fail,noun
fail,verb
faint,noun
faint,verb
faint,adjective
fairness,noun
faithful,adjective
falcon,noun
fall,noun
fan,noun
fangirl,noun
fascination,noun
fastener,noun
fatal,adjective
fatality,noun
fatally,adverb
fate,noun
father,noun
fatherhood,noun
fatigue,noun
fattening,adjective
favourable,adjective
favourably,adverb
fax,verb
fax,noun
feasible,adjective
feast,noun
feature,noun
federalism,noun
federalist,adjective
federalist,noun
federation,noun
feminine,noun
feminine,adjective
feminism,noun
feminist,noun
fertile,adjective
fertilization,noun
fertilize,verb
fertilizer,noun
feverish,adjective
fiancé,noun
fiancée,noun
fibre,noun
fieldwork,noun
fierce,adjective
fighter,noun
filling,adjective
film-maker,noun
filmgoer,noun
filter,noun
fin,noun
financials,noun
finch,noun
find,verb
fine,verb
fine,noun
fingerprint,verb
fingerprint,noun
fingerprinting,noun
fingertip,noun
finish,noun
fir,noun
firearm,noun
fireplace,noun
firewall,noun
first,noun
fist,noun
fit,noun
fitted,adjective
five-a-side,noun
fixture,noun
flat,adjective
flat,noun
flatfish,noun
flea,noun
flee,verb
fleet,noun
flesh,noun
flip-flop,noun
flirt,verb
flirt,noun
flock,noun
floodlight,noun
flooring,noun
florist,noun
flourish,verb
flow,noun
flowery,adjective
fluctuate,verb
fluctuation,noun
flute,noun
fly,noun
foal,noun
follower,noun
fond,adjective
foolish,adjective
footage,noun
footnote,noun
footpath,noun
footwear,noun
force,noun
forensic,adjective
forensics,noun
forge,verb
forgery,noun
fork,noun
fork,verb
form,noun
format,verb
formula,noun
fort,noun
fortress,noun
forward,adverb
forward,verb
foster,verb
foul,verb
foul,noun
foundation,noun
fracture,verb
fracture,noun
fragile,adjective
fragrance,noun
frame,noun
franc,noun
franchise,noun
frank,adjective
frantic,adjective
fraudster,noun
freeze,verb
freeze,noun
freight,noun
frequency,noun
fright,noun
front,noun
frontier,noun
frontline,adjective
frost,noun
frosty,adjective
frown,verb
frown,noun
frozen,adjective
frustrate,verb
frustrated,adjective
fulfil,verb
fulfilled,adjective
fulfilling,adjective
fulfilment,noun
fumes,noun
function,noun
fundraise,verb
fundraising,noun
funeral,noun
fungus,noun
furnish,verb
furnished,adjective
furry,adjective
further,verb
fury,noun
fusion,noun
gale,noun
gallon,noun
gallop,noun
gallop,verb
gamble,verb
gamble,noun
gambler,noun
gambling,noun
gameplay,noun
gangster,noun
garment,noun
gasp,verb
gay,noun
gear,noun
gem,noun
gender,noun
gender-neutral,adjective
gender-specific,adjective
genderless,adjective
general,noun
generalize,verb
generation,noun
generator,noun
genocide,noun
genome,noun
genus,noun
geochemical,adjective
geochemistry,noun
geoscience,noun
getaway,noun
gigabyte,noun
gill,noun
gin,noun
ginger,noun
girlhood,noun
gladiator,noun
glamour,noun
glare,noun
glare,verb
glide,verb
globalism,noun
globalist,noun
globalist,adjective
globalize,verb
gloom,noun
gloomy,adjective
glorious,adjective
glory,noun
glucose,noun
go-cart,noun
go-kart,noun
goalscorer,noun
goddess,noun
goggles,noun
good-hearted,adjective
good-natured,adjective
goodwill,noun
goose,noun
gorge,noun
gorilla,noun
gospel,noun
governor,noun
gown,noun
grace,noun
graceful,adjective
gradient,noun
grapefruit,noun
graphite,noun
grate,verb
gratitude,noun
grave,noun
graveyard,noun
gravity,noun
gravy,noun
grayish,adjective
greasy,adjective
great,noun
greed,noun
greenish,adjective
greyish,adjective
grill,noun
grin,verb
grin,noun
grind,verb
grinder,noun
grip,noun
gripping,adjective
grocer,noun
ground,verb
growl,verb
growl,noun
guerrilla,noun
guesswork,noun
guidance,noun
guiding,adjective
guilt,noun
gulf,noun
gum,noun
gun,noun
gunpowder,noun
gut,noun
gymnasium,noun
gymnast,noun
hacker,noun
half-brother,noun
half-century,noun
half-marathon,noun
half-moon,noun
half-sister,noun
half-term,noun
hammock,noun
handbrake,noun
handcuffs,noun
handy,adjective
handyman,noun
handywoman,noun
hanging,noun
hangman,noun
happy,adjective
hard,adjective
hardback,noun
hardcover,noun
hardship,noun
hardware,noun
hare,noun
harmony,noun
harp,noun
harsh,adjective
harvest,noun
harvest,verb
hatch,verb
hatred,noun
haunt,verb
hawk,noun
hay,noun
hazard,noun
hazardous,adjective
hazel,adjective
head,noun
header,noun
headlamp,noun
headlight,noun
headmaster,noun
healer,noun
healing,noun
health,noun
healthy,adjective
hear,verb
hearing,noun
heartbroken,adjective
heatwave,noun
heavy,adjective
heavyweight,noun
hectare,noun
hectic,adjective
heir,noun
heiress,noun
helium,noun
herd,noun
heritage,noun
heroic,adjective
heroin,noun
heroism,noun
herring,noun
hesitation,noun
heterosexual,adjective
hi-fi,noun
hideous,adjective
high-heeled,adjective
high-rise,adjective
high-rise,noun
high-security,adjective
high-visibility,adjective
highlight,noun
highlight,verb
hijack,verb
hijacker,noun
hijacking,noun
hilly,adjective
hint,verb
hint,noun
hippo,noun
hippopotamus,noun
hitchhike,verb
hitchhiker,noun
hitchhiking,noun
hive,noun
hoard,verb
hoard,noun
hold,noun
homebuyer,noun
homelessness,noun
homeowner,noun
homeschool,verb
homeschooling,noun
homesickness,noun
homestay,noun
homograph,noun
homonym,noun
homophone,noun
homosexual,adjective
homosexual,noun
honorable,adjective
honourable,adjective
hood,noun
hoof,noun
hooked,adjective
hoop,noun
hoover,verb
hop,noun
hop,verb
hopeful,adjective
hopefully,adverb
horizon,noun
hormone,noun
horn,noun
horrified,adjective
horrifying,adjective
hose,noun
hospitable,adjective
hospitality,noun
hospitalization,noun
hospitalize,verb
hostage,noun
hostile,adjective
hostility,noun
hot,adjective
house-hunting,noun
house-warming,noun
housekeeper,noun
housemate,noun
hover,verb
hovercraft,noun
how-to,noun
how-to,adjective
hub,noun
hum,verb
humanity,noun
humid,adjective
humidity,noun
humiliate,verb
humiliating,adjective
humiliation,noun
hurdle,noun
hybrid,noun
hydroelectricity,noun
hydrogen,noun
hyphenate,verb
hypothesis,noun
hysteria,noun
ice,verb
iceberg,noun
icy,adjective
ideological,adjective
ideologically,adverb
ideology,noun
idiom,noun
idol,noun
igloo,noun
imagery,noun
immigrate,verb
immunity,noun
immunize,verb
imperial,adjective
implicit,adjective
implicitly,adverb
imprison,verb
imprisonment,noun
improvise,verb
in-flight,adjective
incentive,noun
inclined,adjective
incomprehensible,adjective
inconclusive,adjective
inconvenience,verb
inconvenience,noun
incorporated,adjective
indecisive,adjective
indefinite,adjective
indefinitely,adverb
independent,noun
index,noun
indicate,verb
indicator,noun
indigenous,adjective
induce,verb
inducement,noun
ineffective,adjective
inequality,noun
infamous,adjective
infancy,noun
infant,noun
infect,verb
infected,adjective
infectious,adjective
infinite,adjective
infinity,noun
inflexible,adjective
influencer,noun
infuriate,verb
infuriating,adjective
ingenious,adjective
inheritance,noun
inject,verb
injection,noun
inland,adjective
inmate,noun
inn,noun
innocence,noun
inquisitive,adjective
insecticide,noun
insecure,adjective
insecurity,noun
insensitive,adjective
inspect,verb
inspection,noun
inspector,noun
inspiration,noun
instability,noun
instant,noun
instinct,noun
instrumental,adjective
insulated,adjective
intake,noun
integrate,verb
integration,noun
integrity,noun
intellect,noun
intensive,adjective
interactive,adjective
intercom,noun
interface,noun
interior,noun
interior,adjective
interjection,noun
intermediate,adjective
intern,noun
internship,noun
interpretation,noun
interrogative,noun
interstate,noun
intervene,verb
intervention,noun
interviewee,noun
intimate,adjective
into,preposition
intolerant,adjective
intranet,noun
intrigue,verb
intrigued,adjective
intruder,noun
invalid,adjective
inversion,noun
